activities,content_type,creation_time,id,is_branded_content,lang,link_attachment.caption,link_attachment.description,link_attachment.link,link_attachment.name,match_type,mcl_url,modified_time,multimedia,post_owner.type,post_owner.id,post_owner.name,post_owner.username,shared_post_id,statistics.angry_count,statistics.care_count,statistics.comment_count,statistics.haha_count,statistics.like_count,statistics.love_count,statistics.reaction_count,statistics.sad_count,statistics.share_count,statistics.views,statistics.views_date_last_refreshed,statistics.wow_count,surface.type,surface.id,surface.name,surface.username,text
,videos,2025-01-31T19:25:18+00:00,469787072870448,false,,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/469787072870448/,2025-02-03T17:37:50+00:00,"[{""id"":""469787072870448"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZul75Jx2QwwbSfTtNzBiwee_Nrtm8HeNmLa4A0jQ0695OmP4-ME9gwY_4Fdum4VzR3Ix6XY56C_701BU7kueDm16Ph1uCS6f70mrLwDmXab3GwmV6_yPsKIG_HQAavXg2KFcP3H7qnNAkOLuWxp""}]",page,1089863868701230,"Die Linke",linkspartei,,0,0,0,0,1,1,2,0,0,,,0,page,1089863868701230,"Die Linke",linkspartei,
,videos,2025-01-31T19:05:47+00:00,978358940922278,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/978358940922278/,2025-01-31T19:49:18+00:00,"[{""id"":""935653508633617"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZtr1JTDKcUIKEgxDlb5PCZyQJTG75nwyN_EcSfFNVW0lDeLeIOhP3FSIMefXfxPN1pem1wrp0b7Qa7O-kVZTn29sKhcTIK5mOxRjXulJfZusurSm3uh95kRH_KVfkFQB8UZEmdUAtBOCiULcDNd""}]",page,1459050451333572,CDU,CDU,,59,0,1904,246,1964,24,2308,13,351,23488,2025-02-01,2,page,1459050451333572,CDU,CDU,"„Wir haben gesagt, was wir denken und was wir für richtig halten. Leider haben uns die Sozialdemokraten und die Grünen auf diesem Weg nicht folgen wollen. Jetzt geht es darum, dass wir eine neue Mehrheit für einen Politikwechsel in der Asyl- und Einwanderungspolitik für die nächste Wahlperiode bekommen. Wir werden jetzt kämpfen - um jede Stimme.“ Friedrich Merz"
,videos,2025-01-31T18:49:21+00:00,983419157042816,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/983419157042816/,2025-01-31T20:56:05+00:00,"[{""id"":""489302050602119"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZtfqGuPVgFulsRg4DcyL-7ipTkYNkB7eL42oYJHAZrhBL0CIeCgYKGM_g1SSm51z4f2QxYYgttvPNPrgL001I7-I8vIUsQQT7HJLkV50cpi-JJH-JDwtXm1JRsn7CazIlBmMhLdQII6J8e73yz9""}]",page,880355130153678,"Friedrich Merz",MerzCDU,,132,0,3585,434,3393,53,4027,11,232,42792,2025-02-01,4,page,880355130153678,"Friedrich Merz",MerzCDU,"„Wir haben gesagt, was wir denken und was wir für richtig halten. Leider haben uns die Sozialdemokraten und die Grünen auf diesem Weg nicht folgen wollen. Jetzt geht es darum, dass wir eine neue Mehrheit für einen Politikwechsel in der Asyl- und Einwanderungspolitik für die nächste Wahlperiode bekommen. Wir werden jetzt kämpfen - um jede Stimme.“ (tm)"
,videos,2025-01-31T18:00:42+00:00,1683459842236484,false,,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/1683459842236484/,2025-02-03T18:35:38+00:00,"[{""id"":""1683459842236484"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZv8ZMnLSeq8w_yuNb2Qq6piiX0E2411HbrqfEW2T0wYd_QBjBRxYdIq_lqS1KwWSgHFvvfkI35ePxe4hIBUrdJpfZbN9HcBPHOq8mQvod8rx2FQQR1hcGsDc0i9TP0zdNumuluflrh3p3f8eMwC7g""}]",page,390737896761994,"Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit",BSW.Bund,,0,0,0,0,2,0,2,0,0,,,0,page,390737896761994,"Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit",BSW.Bund,
,photos,2025-01-31T18:00:08+00:00,1728187094432742,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/1728187094432742/,2025-02-01T11:35:17+00:00,"[{""id"":""1608494946447607"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZvq4hCcXQ8YhxpYd94zFOyHxLkIRdpvFUzyL3VVhy3FJiaL-Wxo5E1gnSKsYWg4XefghqtZ2f_Tbwmv4V-dtauP91RARL1udrOlbSBviMwFVeAKjs8llOM_IALlmSE89p_2UkHuXLFQ9vMrVr_sTQ""}]",page,3597025993914031,"FREIE WÄHLER Bundesvereinigung",freie.waehler.bundesvereinigung,,0,0,9,6,44,1,52,0,10,843,2025-02-01,1,page,3597025993914031,"FREIE WÄHLER Bundesvereinigung",freie.waehler.bundesvereinigung,"Enge Partnerschaft mit Großbritannien ausbauen 

Der Austritt des Vereinigten Königreiches aus der Europäischen Union ist nach wie vor eine schmerzhafte Wunde. Zu einem geeinten Europa gehört Großbritannien dazu. Mit seiner Wirtschaftsleistung, seiner Einwohnerzahl sowie der militärischen Stärke und dabei ähnlich gelagerten Interessen muss Großbritannien eine neue europäische Perspektive bekommen. Dabei ist die notwendige eigene Erneuerung der Europäischen Union zu nutzen, um Wege zu finden, unsere partnerschaftlichen Beziehungen neu und auf hohem Niveau auszuhandeln. Wir wollen, dass dies mit dem Ziel einer fairen Partnerschaft, aber ohne Sonderzugeständnisse an das Vereinigte Königreich geschieht."
,videos,2025-01-31T17:58:03+00:00,1290553958816331,false,,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/1290553958816331/,2025-02-03T20:16:47+00:00,"[{""id"":""1290553958816331"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZs-ej30ePP91rXPlRGg1PajoknQc2irUO0rxgYS3KOB6_1JAyZGPtqwcPECuxa0Z3B0WD6cYUxYDlzwW2XBV4cKthBgv0I2z6hAVAkMZBHg2ZFQAvb6iSSPJeYAupkvKC1KbSF27B5L4mduIiiMZw""}]",page,390737896761994,"Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit",BSW.Bund,,0,0,0,0,1,0,1,0,0,,,0,page,390737896761994,"Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit",BSW.Bund,
,photos,2025-01-31T17:57:02+00:00,963593389068931,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/963593389068931/,2025-02-01T05:19:14+00:00,"[{""id"":""923601863304467"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsjwkbXZWTvnURaLgDDDLQ4FNu_wVuwd4o9_eF30xUoKIZ2T78xs2ajXrMuakR3U8EEOE5718nzQKDYVHY43_dX1NakQS_IKMKC5F_uA3ogkre6ecJvkGjfRU7f_LgjakHULEZhq2FOI2I4PaGv""}]",page,318323284568640,Bayernpartei,Bayernpartei,,2943,0,937,40,632,4,4019,379,382,7279,2025-02-01,21,page,318323284568640,Bayernpartei,Bayernpartei,"⚠️
#Zustrombegrenzungsgesetz GESCHEITERT!
❌
Die heutige Abstimmung zur Begrenzung der Migration war ein Desaster.
Grüne und Rote wollen nichts ändern und CDU, CSU und AfD können nichts ändern.
Sie zeigt umso mehr, wie dringend wir ein freies Bayern mit eigenen Asylgesetzen brauchen. 
Ein freies und unabhängiges Bayern muss seine Grenzen selbst schützen können – mit eigenen, klaren Regeln für unser Land. 
Bayern gehört uns Bayern!
🔹🔹Deshalb am 23.02:🔹🔹
🔹🔹#BesserFürBayern🔹🔹
🔹🔹#FreiheitFürBayern🔹🔹"
,videos,2025-01-31T17:39:11+00:00,923169829969136,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/923169829969136/,2025-02-04T02:11:55+00:00,"[{""id"":""1608924846492935"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZvKVQZWjhUdIAJCDVryI4HwQIKj8bqRL8WYLqVt-WDpYdT0pnOWEPR_F0eqzJm40VVyH3_GlYpXLUBGEVrsIDftJCjUxHdy_rwILNZKU2gzNXM9THGQM-nVXPKpixeSyGAYwf0CNmjat7rn7WCCqA""}]",page,1488921141683197,"BÜNDNIS 90/DIE GRÜNEN",B90DieGruenen,,492,0,1812,382,2100,184,3167,3,275,71229,2025-02-01,6,page,1488921141683197,"BÜNDNIS 90/DIE GRÜNEN",B90DieGruenen,"Der nationale Alleingang von Friedrich Merz und der Union in der Migrations- und Asylpolitik macht Europa kaputt und gefährdet die europäische Sicherheit. Dagegen bezieht Annalena Baerbock in der heutigen Bundestagssitzung klar Stellung."
,videos,2025-01-31T17:34:12+00:00,2553352948203913,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/2553352948203913/,2025-01-31T17:36:44+00:00,"[{""id"":""1501142081290951"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZuv7BgLQMNX5f8TKwCSXEcTAUogHbHb3mV-Likzky3g1oudS9VkmXnXyEgWpaNKdBpgFhm3nK9EI81ZuovQtJvtzklT_Ixpw4_cvzfnVvokncQxMn8PNVkNldTR0JivylP_cTlXcAQZAJzDTtajKw""}]",page,6637669279642279,"Sahra Wagenknecht",sahra.wagenknecht,,25,0,1489,68,5339,99,5549,8,1065,60940,2025-02-01,10,page,6637669279642279,"Sahra Wagenknecht",sahra.wagenknecht,"Über diese hysterische Debatte freut sich nur die AfD

Was hier im politischen Berlin in den letzten Tagen abgegangen ist, lässt die große Mehrheit der Bürger mit Entsetzen zurück. Die Mehrheit im Land wünscht sich eine Begrenzung der Migration. Doch statt darüber zu reden, wie wir die Probleme lösen, geht es nur noch darum, wer mit wem abgestimmt hat! Eine bessere Wahlkampfhilfe als diese hysterische Debatte hätte sich die AfD gar nicht vorstellen können. Das nehmen Grüne und SPD aus billigem Wahlkampfkalkül in Kauf. Warum ich das schäbig finde, wir dem Zustrombegrenzungsgesetz zugestimmt haben, aber auch Merz kein Problem lösen will, begründe ich in meiner Rede heute im Bundestag:

#bsw #wagenknecht #Bundestag #rede #debatte #Migration"
,videos,2025-01-31T17:18:56+00:00,8754480854679765,false,,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/8754480854679765/,2025-02-02T13:47:15+00:00,"[{""id"":""8754480854679765"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZuHVYTnLr5VTxGrt4_mkrlsLn1rCEOMpk--nKVelvrz3f6cZM_NjHPBy_1rE4WabfeyvKBRkWA462S8dvMKtJV165gLwNwF02RRNi9SEjPEDiFlMwirg9fqdn2NZfHmE2XPuG2ffQ4qtDziPzisXQ""}]",page,320290480623589,SPD,SPD,,1,0,2,0,2,0,3,0,0,,,0,page,320290480623589,SPD,SPD,
,photos,2025-01-31T17:07:11+00:00,556475710738058,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/556475710738058/,2025-01-31T17:07:11+00:00,"[{""id"":""1175682343988596"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZvV_g4dnNBlJ93o6AdEeDnn7TzTOoh3plkwZ24lDNrvFPdxGqYDjrtOyrwGgzNxX9apWemC00JTteGkU0ZKP1uT6nEU1LH0DYglc_vVQWh84hZhzLcdsb8nHnM6Lsz4EvdhrWC1dlkKxjmZEs1yMg""}]",page,7562946647096631,WerteUnion,WerteUnionFoerderverein,,0,0,60,3,217,1,221,0,15,2466,2025-02-01,0,page,7562946647096631,WerteUnion,WerteUnionFoerderverein,"Ab heute rollen zehn LKW mit Werteunion-Werbung übers Land. Sylvia Pantel, die NRW-Landesvorsitzende, ist eine von fünf Direktkandidaten bei der Bundestagswahl."
,videos,2025-01-31T17:04:53+00:00,920536433402792,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/920536433402792/,2025-02-01T10:02:28+00:00,"[{""id"":""920536433402792"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsps_qxssMkJPNcXdAnAGlY7blVPYGrOnOuU5PVIlrDXB94tXpK75Z9uzl7ApxuLArj16vI_7qkIN4pZDdB-DG_maOBB6bU_eEM4LXJ2pBF386-lNo1hafjDObg5TbYwx2VW6srzz8MmqkBCd_W""}]",page,880355130153678,"Friedrich Merz",MerzCDU,,0,0,0,0,1,0,1,0,0,,,0,page,880355130153678,"Friedrich Merz",MerzCDU,"Pressestatement im Deutschen Bundestag"
,videos,2025-01-31T17:04:53+00:00,1181821643559590,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/1181821643559590/,2025-02-01T14:48:23+00:00,"[{""id"":""1181821643559590"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsX1af9ZtPy3gntVT57k_ABEoy9-CSp8_QzkC5kUwEZJ8OhoqnGxFssz2zr67m0V87RAEVqFjwL5tqyD-dU6JTM3ftI_6za7lNaoXiKUY2hwLCsr16UILAxr2eftAiiIzGqVw72Z3LgO2PtSq3eOw""}]",page,880355130153678,"Friedrich Merz",MerzCDU,,0,0,0,0,1,0,1,0,0,,,0,page,880355130153678,"Friedrich Merz",MerzCDU,"Pressestatement im Deutschen Bundestag"
,videos,2025-01-31T17:04:53+00:00,1809671706448437,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/1809671706448437/,2025-02-01T22:36:42+00:00,"[{""id"":""1809671706448437"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZu6U-UHLmCtevRkEnzNCKTPFJkj7NfHrqHntwp1bvv_ciFyQav4geyN7xRM9N4zRvD6R2VTlobBhjZo489wBKUUDnUu8Tv64vfc7QNQVoG-d14JbSggPPIgmld0ZbGcZl485CTEPhXhpiiG09G8Kg""}]",page,880355130153678,"Friedrich Merz",MerzCDU,,0,0,1,0,1,0,1,0,0,378,2025-02-01,0,page,880355130153678,"Friedrich Merz",MerzCDU,"Pressestatement im Deutschen Bundestag"
